"Persentase kebahagiaan pegawai", "Waktu kerja harian", "Waktu istirahat harian", "Penghasilan bulanan", "Pengeluaran bulanan", "Jumlah tempat wisata yang dikunjungi per tahun", "Ukuran tempat tinggal", "Kecepatan jaringan di wilayah", "Kepadatan penduduk sekitar"
40, 12, 6, 5, 2, 2, 10, 50, 203
70, 8, 6, 2, 2, 1, 25, 300, 132
80, 10, 7, 3, 4, 4, 12, 100, 73
100, 1, 8, 3, 2, 12, 20, 500, 91
55, 10, 8, 4, 3, 6, 9, 200, 71
75, 5, 8, 10, 5, 3, 16, 300, 92
72, 6, 7, 4, 4, 5, 15, 50, 101
90, 5, 6, 2, 3, 14, 30, 500, 260
45, 12, 6, 6, 5, 8, 36, 200, 89
50, 10, 6, 2, 3, 2, 20, 50, 252
77, 8, 7, 4, 4, 4, 16, 100, 1365
85, 10, 8, 8, 6, 3, 10, 500, 1113
65, 6, 6, 4, 4, 5, 9, 400, 1171
70, 6, 8, 6, 5, 6, 20, 300, 851
60, 8, 8, 6, 6, 8, 16, 600, 1232
95, 5, 8, 3, 5, 9, 25, 500, 747
